seq,stamp,px,py,pz,ox,oy,oz,ow,lx,ly,lz,ax,ay,az,timestamp,wx,wy,wz,aa_x,aa_y,aa_z,roll,pitch,yaw,vx,vy,vz,jx,jy,jz,fw
4506,1724915343215899372,-0.4817328751087188,0.1449372917413711,0.1616140902042389,-0.0596426203846931,-0.0258598290383815,-0.3280312120914459,0.9424274563789368,0.0,0.0,0.0,-596.159403046006,-932.7510282385724,-33.795770089277994,22.512450679,-1.257905922729904,-0.2894674357311541,9.658407417079248,-11441.958692601402,-7294.100584933627,14742.9187133714,-0.0959699315262342,-0.087984783748247,-0.6656818040557123,-0.521632648068362,-0.6304046898698061,0.2588324974492479,2065247.167925992,2057113.399869983,378753.9325279918,4.341529560062261e-05
4508,1724915343216148425,-0.4818875789642334,0.1447645872831344,0.1616801470518112,-0.0601153150200843,-0.0256076734513044,-0.3269993960857391,0.9427629113197328,0.0,0.0,0.0,133.11715335103906,-241.8236464207359,29.03290097238772,22.512699732,-3.866689488113728,0.2386186990562492,8.911472232438756,-3939.8761897531895,2926.234297874677,-4701.893079853817,-0.0971270191237151,-0.0877116957159872,-0.6634700072836475,-0.5531337745964038,-0.752125969702746,0.2795038939534606,2004754.381306272,1991269.7643218844,23824.080373480418,4.44120267527641e-05
4510,1724915343216436423,-0.482024222612381,0.1445284336805343,0.1617653965950012,-0.0604610107839107,-0.0252308845520019,-0.3260723054409027,0.9430719614028932,0.0,0.0,0.0,402.9452001082575,70.91043686071745,-40.18591797491505,22.51298773,-2.8250169075083424,1.349745492007738,6.990250720886965,3345.2595843403487,3379.684121139673,-6202.093928515705,-0.098112889365071,-0.0871285979793566,-0.6614966962290935,-0.4283406948703714,-0.7395406030830003,0.2698924940935576,818083.909712622,971723.3031548184,-215125.63451579364,5.4816478328339006e-05
4512,1724915343218705888,-0.4821715354919433,0.1442886888980865,0.1619108766317367,-0.0604247450828552,-0.0246113203465938,-0.3247154355049133,0.9435587525367736,0.0,0.0,0.0,134.517107825922,234.482923079178,-77.39406183175973,22.515257195,-0.0917878445341697,0.4638655491300399,1.2997773145493658,984.5305689187824,-328.21738225543004,-2067.158652856177,-0.0985666916958668,-0.085791349169586,-0.6586539465953376,-0.056947179852294,-0.0919793471383805,0.0568543875029021,-99097.6543448732,54802.66556882798,-12053.78060929603,0.0001141328318784
4514,1724915343228890302,-0.4823875427246094,0.1439762413501739,0.1621586084365844,-0.0610709153115749,-0.024502620100975,-0.3229492604732513,0.9441260099411012,0.0,0.0,0.0,1.8790270535981852,3.195344770475656,-1.7408853995692588,22.525441609,-0.1113960879806055,-0.0392788630618284,0.3678480532813058,23.76170695085681,-17.21718021837961,-41.6843116138613,-0.100025272907429,-0.0858180348371446,-0.6548725634146064,-0.0183525101531962,-0.0280911666327909,0.0217167868536805,-6496.583603280906,-11298.462028580989,3718.750678994757,0.0002060844643787
4516,1724915343238681313,-0.4825403392314911,0.1437255591154098,0.1623466908931732,-0.0592937543988227,-0.0245087351649999,-0.3209515511989593,0.9449199438095092,0.0,0.0,0.0,-0.2912457945081012,-0.0138754809788947,-0.2480902286184825,22.53523262,0.3630419936094059,0.0951098793725232,0.4286730125349728,5.357043708435946,3.3351816959927367,-4.246694682770775,-0.0968194022088089,-0.0844788774913091,-0.650772285664974,-0.0179386134092247,-0.0257761264588296,0.0207605884773167,-107.804357978172,-162.82465302039066,84.9431021383514,0.0001557614368951
4518,1724915343248719795,-0.482744425535202,0.1434650272130966,0.1625710576772689,-0.05942003428936,-0.024280060082674,-0.3196406066417694,0.9453622102737428,0.0,0.0,0.0,-0.2016147479533012,0.0492856047359151,-0.0903489611723686,22.545271102,-0.0267699393965171,0.0216483899116596,0.2783962215837864,-18.264542431397334,-2.5071383553292814,-3.7442488025405822,-0.0973212177746409,-0.0839917341574996,-0.6480020425884521,-0.0242949252544093,-0.028491770471744,0.0167218886580258,30.63788040864941,20.11832667030793,47.80623170274766,0.000190820534463
4520,1724915343258060721,-0.4830058217048645,0.1431768238544464,0.1626783311367035,-0.0594810172915458,-0.0239808056503534,-0.3181478381156921,0.9458694458007812,0.0,0.0,0.0,0.2732637981553554,0.3573865540990028,0.6351490933356374,22.554612028,-0.0186106671031544,0.0400445394442209,0.340994544737675,5.120260621942562,9.75701571021473,-4.415313888248999,-0.0977578063877949,-0.0833092704750346,-0.6448574308773817,-0.022426970499886,-0.0252516682077494,0.0185895640079412,22.0295602205293,-5.372203237990901,71.54293938334594,7.152912605197607e-05
4522,1724915343268633901,-0.483176440000534,0.1429768800735473,0.1629599183797836,-0.0586719661951065,-0.0228931549936532,-0.3174044191837311,0.9461965560913086,0.0,0.0,0.0,0.1614012734054023,-0.1584612856557752,1.3182718011154178,22.565185208,0.0863520047763518,0.2364091853334455,0.1612645496136409,0.551094046785262,4.847643057555209,-2.4126866944631526,-0.0969642487517377,-0.0806557520786726,-0.6433984202430956,-0.0186605873075471,-0.0213471133525251,0.030513624165529,-16.32864138126096,-40.72851048432661,26.477982487645203,0.0002552847422069
4524,1724915343279798530,-0.4834145307540893,0.1427098214626312,0.1633463501930236,-0.0585781633853912,-0.0220808871090412,-0.3158305883407593,0.9467482566833496,0.0,0.0,0.0,-0.0886755364369347,-0.5181614203281337,1.164355742632973,22.576349837,-0.0180323428077318,0.1287331479670277,0.3062843272402585,-1.1615498179016752,-1.539274502393777,1.559351323671068,-0.0974265268517562,-0.0788934500246719,-0.6401241918080156,-0.0191553572502876,-0.0293380041733346,0.04747755788215,-15.600630943258878,-20.793049366663094,-95.74841306872489,0.0003512015291667
4526,1724915343288788180,-0.4835710227489471,0.1424068659543991,0.1638662815093994,-0.058224257081747,-0.0213234368711709,-0.3148619830608368,0.9471099972724916,0.0,0.0,0.0,-0.1797103973548163,-0.6223867634608782,-0.2896636093753417,22.585339487,0.0307936315456207,0.1735635009358278,0.2375686666174257,-11.864433560771136,-0.4793621648114863,-4.869434922888212,-0.0973040016222644,-0.0771329514679556,-0.6381442899941017,-0.0202736115262425,-0.0325659978484909,0.0553745068650819,13.41929007403094,-24.506000518325852,-133.26365597289862,0.0004790355236526
4528,1724915343298450990,-0.4837966859340668,0.1421039700508117,0.1643757820129394,-0.0592818483710289,-0.0203476604074239,-0.3139165639877319,0.9473796486854552,0.0,0.0,0.0,0.1945144655581842,-0.993293261338166,-1.2815603981578825,22.595002297,-0.2634907151011815,0.112157007128531,0.219332507861053,-4.542377246546198,-14.25464277843163,11.54167370229496,-0.1000035208894362,-0.0758457241405496,-0.6361361001457626,-0.0225846608330506,-0.0413148176697806,0.0404430841825647,49.855972406846654,28.36046511329255,7.835322089069867,0.0004679065052996
4530,1724915343308102113,-0.4840072393417358,0.1416091471910476,0.1646476835012436,-0.0597437918186187,-0.0205931179225444,-0.3117885887622833,0.9480477571487428,0.0,0.0,0.0,0.7829445740299478,-0.0761938043318162,-0.1409136682826377,22.60465342,-0.0575428620026275,-0.1015651784340718,0.4601700813198741,25.818046940909007,-3.164381578740678,5.1910804009956255,-0.1009033288171017,-0.0763756147537018,-0.6316058510365693,-0.0165269029693995,-0.0517483444425383,0.0306163755294921,32.566504919558454,33.52888697747924,169.02590697235547,0.0002076993864782
4532,1724915343318594761,-0.4841203093528747,0.1410607248544693,0.1649968028068542,-0.0583258718252182,-0.0205283854156732,-0.3103466033935547,0.9486104249954224,0.0,0.0,0.0,0.8006378279875555,-0.4259087063308349,2.2125518406509332,22.615146068,0.264448764131077,0.0817521360322234,0.2891877017714198,13.218991602792515,15.036088432624238,-16.824511123624525,-0.0983513737916891,-0.0752202670064676,-0.6286634238357327,-0.0065404830953514,-0.0410846594958798,0.0391454285703023,-19.919995406161732,-26.286871558363018,101.08363850204948,0.0002790853174366
4534,1724915343333199686,-0.4841297268867492,0.1406880170106887,0.1656879037618637,-0.0570505484938621,-0.0190018396824598,-0.3102113008499145,0.9487640261650084,0.0,0.0,0.0,0.070476860625264,-0.6666573413771371,1.1840882179960204,22.629750993,0.102398771514376,0.2518535365385858,0.0327116759009629,50.96241886549018,-28.82386301551975,94.47566224964964,-0.0968644441368531,-0.0715129119737236,-0.6285460856426509,0.0020807487278347,-0.076623532251034,0.0999137582621472,-58.90145011571417,121.90016812942712,-247.6987951399082,0.0006413679562787
4536,1724915343338746997,-0.4841124415397644,0.1401552855968475,0.1663529723882675,-0.0557288788259029,-0.0193025730550289,-0.3080976605415344,0.9495249390602112,0.0,0.0,0.0,-0.2750355105581592,0.3011371764469752,-0.5635036462437866,22.635298304,0.515859694349266,0.0066865793411585,0.7928592822353565,42.76246347577653,-28.83221565293383,82.00019869086019,-0.0943151759492402,-0.0710562018986384,-0.6241603331214299,0.0013764434991347,-0.076599259560973,0.1002102925903862,-35.79709588027305,112.70150554145576,-211.62130005776652,0.0005976855900237
4538,1724915343351668341,-0.4841470122337341,0.1397504657506942,0.1670555025339126,-0.0548729822039604,-0.0188629832118749,-0.3069147765636444,0.9499666094779968,0.0,0.0,0.0,0.0596317936139635,-0.1014523631477821,-0.1854524633585192,22.648219648,0.1121717813736258,0.0965388497596979,0.1961455869452644,6.5621822504967895,19.781962047674178,6.261071890903331,-0.0930352749125865,-0.0695771899979635,-0.6217477101473208,-0.0066340116130234,-0.0637763301165996,0.0743600356674072,57.28966774340311,9.001074068586433,19.48337105890009,0.0006509822711798
