stamp,px,py,pz,ox,oy,oz,ow
1713471888.3551178,0.1699912721016392,0.7655325072981108,0.113649277896138,0.1826313553681292,-0.6850602364936726,0.1306039258792364,0.6930229974225707
1713471888.4862697,0.1772621203523748,0.7675417055184216,0.114005178986724,0.1699603368215319,-0.6694505510062677,0.1441735541263194,0.7086349059674532
1713471888.6222208,0.1850757735362587,0.7718612087314747,0.1132084794125283,0.157945537211156,-0.6516639528974296,0.1587030392039922,0.7247072823675723
1713471888.742973,0.1884103095232042,0.772596736495238,0.1169781958821847,0.1611302977391283,-0.6595422506399332,0.1554442669016977,0.7175500865157116
1713471888.8664002,0.1915067480770489,0.7745568161636912,0.120211680072701,0.1633830409598102,-0.664732892286672,0.1532323091596955,0.7127103361594445
1713471888.9869378,0.1944991818336606,0.7770300034723541,0.1230288772169393,0.164921904600809,-0.6685142269106512,0.1514754037458271,0.709185938848857
1713471889.1115024,0.1977979368751635,0.7798650236317645,0.1254501130930447,0.1656352929494028,-0.6711428399183748,0.1501654561930676,0.7068115547458123
1713471889.232219,0.2013723199348656,0.7829827079252658,0.1274852021431783,0.1656550607743133,-0.6728456259183649,0.1492628058169936,0.7053777564695536
1713471889.3521037,0.2051972766900756,0.7864329579420463,0.1289365210111235,0.1648357160027111,-0.6737432341170485,0.1486849330840554,0.7048347550207521
1713471889.4711468,0.2094014771316699,0.7902881625817819,0.130140353827475,0.1634433612063268,-0.6743453571971054,0.1480188102772482,0.7047233774385483
1713471889.5834076,0.2136884295348394,0.7940965356605101,0.1311159035218317,0.1619173815258675,-0.6748038136335537,0.1474326012521064,0.7047596773038709
1713471889.6990883,0.2180942395443976,0.7977956840055119,0.1318621244480489,0.1602545511541649,-0.6752686312186273,0.1467771532459557,0.7048313428129541
1713471889.8116674,0.2225807312583082,0.8013920848073832,0.1323721531954813,0.1585198859896815,-0.6756558266651681,0.1461595931119951,0.7049808671024788
1713471889.9321644,0.2262539172850258,0.8044236283497471,0.130921832047941,0.1558635444346691,-0.6747807069286463,0.1492633449907993,0.7057605875332627
1713471890.0565462,0.2294083284338057,0.8077821131630546,0.1287401654337148,0.1526569908876855,-0.673594325425335,0.1532979135379096,0.7067292816862966
1713471890.1814036,0.2325570555805866,0.8117579479875101,0.126410883738448,0.1493590313052364,-0.6722687031804069,0.1576398695144417,0.7077403069143126
1713471890.2965145,0.2360466479169159,0.8142874802320977,0.1249420502914588,0.1462571382096892,-0.6751332276634822,0.1586140418333281,0.7054399762989734
1713471890.42758,0.2399390284999746,0.8157171313421251,0.1230819146291646,0.1442297889625416,-0.6800336692714855,0.1578426486707801,0.7013113965233798
1713471890.544173,0.2442789649791522,0.8183576153046089,0.1230188321785014,0.1422644138686866,-0.6829716149307875,0.1564465775793354,0.6991674177971571
1713471890.6541972,0.2494273847954055,0.8207842935627632,0.1227136781201458,0.1419141288952908,-0.6845778297146776,0.1542715002414659,0.6981503271475851
1713471890.766211,0.2539688149791281,0.8242714268055766,0.1228906545074899,0.1416942188302979,-0.6857907949996889,0.1523255646514104,0.6974314706101207
1713471890.87788,0.2589569547154535,0.8276092046848618,0.1226390427317326,0.1415273575670758,-0.6865331280352241,0.1499415461298512,0.697251607322953
1713471890.989679,0.2635029196515491,0.8305359634542151,0.1213866364246319,0.1422118974737816,-0.6869326204408017,0.1458254623851316,0.6975917758341212
1713471891.1061258,0.2678469110283373,0.8332071295472352,0.1191139929537742,0.1440681456795583,-0.686944047257672,0.1404737823801055,0.6982974737184217
1713471891.2172785,0.2723810910172752,0.8360407889563587,0.1163776203193737,0.1464191105853022,-0.6867178672671775,0.1349310773168647,0.6991234649227119
