seq,timestamp,px,py,pz,ox,oy,oz,ow,lx,ly,lz,ax,ay,az
12816,1722911428293186462,0.7270457744598389,-0.320629537,0.15302352607250214,0.049430616199970245,0.020504703745245934,0.069932185,-0.996115267,0,0,0,0,0,0
12818,1722911428303903309,0.7275484204292297,-0.320455849,0.15328997373580933,0.048140909522771835,0.020228179171681404,0.071246736,-0.996091008,0,0,0,0,0,0
12820,1722911428313444782,0.7282364964485168,-0.320363611,0.15344037115573883,0.046297188848257065,0.019988806918263435,0.07239376,-0.996100485,0,0,0,0,0,0
12822,1722911428323073172,0.7287540435791016,-0.320122272,0.1536579579114914,0.044787768,0.020496711134910583,0.073068589,-0.996109903,0,0,0,0,0,0
12824,1722911428333698332,0.7293847799301147,-0.319885731,0.15368622541427612,0.044341516,0.022028729,0.07386712,-0.996038318,0,0,0,0,0,0
12826,1722911428344597326,0.7299578785896301,-0.319676876,0.153887078,0.044074211,0.023362752,0.074642986,-0.995961845,0,0,0,0,0,0
12828,1722911428353720750,0.7305052876472473,-0.319463253,0.15405108034610748,0.044696216,0.024012291803956032,0.07588803,-0.995824635,0,0,0,0,0,0
12830,1722911428364319021,0.7310688495635986,-0.319177061,0.15441825985908508,0.043223239,0.022269739,0.076757558,-0.995863557,0,0,0,0,0,0
12832,1722911428373859581,0.7316600680351257,-0.319002479,0.15473033487796783,0.042711232,0.023639644,0.077726617,-0.995778859,0,0,0,0,0,0
12834,1722911428384962610,0.7323916554450989,-0.318618566,0.1551111340522766,0.041905127465724945,0.023571974,0.07923615,-0.99569571,0,0,0,0,0,0
12836,1722911428395258455,0.7330019474029541,-0.318299174,0.15513171255588531,0.041505307,0.023787053301930428,0.079458095,-0.99568969,0,0,0,0,0,0
12838,1722911428403226021,0.7336283326148987,-0.318110943,0.1551155298948288,0.043217264115810394,0.028063422068953514,0.07915163,-0.99552989,0,0,0,0,0,0
12840,1722911428413567642,0.7341868877410889,-0.317772686,0.15533336997032166,0.042450525,0.028351245,0.079798952,-0.995503128,0,0,0,0,0,0
12842,1722911428423262969,0.7349110245704651,-0.317364722,0.15555958449840546,0.042694144,0.028723884373903275,0.080933474,-0.995390415,0,0,0,0,0,0
12844,1722911428436102995,0.7355892062187195,-0.316778064,0.15587055683135986,0.040248469,0.024667434,0.082521655,-0.995470703,0,0,0,0,0,0
12846,1722911428443889299,0.7361697554588318,-0.31648773,0.1560724973678589,0.039472181,0.025359367951750755,0.082568951,-0.995480418,0,0,0,0,0,0
12848,1722911428453977117,0.7367695569992065,-0.316174269,0.15635278820991516,0.039937947,0.029527783393859863,0.082395732,-0.995361269,0,0,0,0,0,0
12850,1722911428466997443,0.7373026609420776,-0.315632641,0.15647748112678528,0.038882084,0.026592256501317024,0.082917988,-0.99544251,0,0,0,0,0,0
12852,1722911428473392583,0.7379376888275146,-0.315186918,0.1564168632030487,0.039226662,0.026865540072321892,0.082727313,-0.995437443,0,0,0,0,0,0
12854,1722911428487272597,0.7383769154548645,-0.314422667,0.15687745809555054,0.03859663,0.023972668,0.084377944,-0.995397449,0,0,0,0,0,0
12856,1722911428493470165,0.738930881,-0.313709795,0.15716025233268738,0.036548555,0.020181506872177124,0.085761033,-0.995440602,0,0,0,0,0,0
12858,1722911428503621072,0.7394718527793884,-0.313159347,0.15722492337226868,0.036921899765729904,0.020681219175457954,0.086265951,-0.995372951,0,0,0,0,0,0
12860,1722911428546000598,0.739954948,-0.312755466,0.15704095363616943,0.038656532764434814,0.024395959451794624,0.085807189,-0.995262623,0,0,0,0,0,0
12862,1722911428546857525,0.7404047846794128,-0.312246501,0.15717671811580658,0.039432652,0.027652475982904434,0.086008325,-0.995129645,0,0,0,0,0,0
12864,1722911428547330060,0.7409343719482422,-0.31191355,0.157009095,0.03835677,0.030033571645617485,0.084837593,-0.995203197,0,0,0,0,0,0
12866,1722911428547568933,0.7413060665130615,-0.311317384,0.15699271857738495,0.037603139877319336,0.028712632,0.085376114,-0.995224833,0,0,0,0,0,0
12868,1722911428554452488,0.7417312860488892,-0.31024456,0.1571582406759262,0.035866264,0.020735173,0.087007657,-0.99534595,0,0,0,0,0,0
12870,1722911428568773517,0.7420427203178406,-0.309433877,0.15735548734664917,0.035739385,0.018748082220554352,0.0882954,-0.995276451,0,0,0,0,0,0
12872,1722911428573402403,0.7423725128173828,-0.308959633,0.15741261839866638,0.037093810737133026,0.021997403353452682,0.088927187,-0.995104134,0,0,0,0,0,0
12874,1722911428583208464,0.7427335977554321,-0.308655798,0.15731845796108246,0.038365449756383896,0.027559291571378708,0.087613627,-0.99503386,0,0,0,0,0,0
12876,1722911428593525663,0.742984414,-0.307879567,0.15739332139492035,0.037455264,0.02604123,0.088609926,-0.995021224,0,0,0,0,0,0
12878,1722911428603650339,0.7431686520576477,-0.306962252,0.15759925544261932,0.03686678,0.023142220452427864,0.089892395,-0.994999886,0,0,0,0,0,0
12880,1722911428614195707,0.7434541583061218,-0.306477547,0.15725114941596985,0.034260176,0.023570692166686058,0.088281274,-0.995227158,0,0,0,0,0,0
12882,1722911428623639462,0.7436420321464539,-0.305869013,0.15740244090557098,0.037220634520053864,0.025453636422753334,0.08856906,-0.99504894,0,0,0,0,0,0
12884,1722911428633467194,0.7437825798988342,-0.304915249,0.15746331214904785,0.034399788826704025,0.020375890657305717,0.088798389,-0.995246947,0,0,0,0,0,0
12886,1722911428643848454,0.743890107,-0.304182142,0.15744443237781525,0.03421713,0.019553004,0.089180522,-0.995235503,0,0,0,0,0,0
12888,1722911428654394924,0.7440205812454224,-0.303451419,0.15743941068649292,0.033872637897729874,0.018633993342518806,0.089768998,-0.995212078,0,0,0,0,0,0
12890,1722911428663449016,0.7441724538803101,-0.302740157,0.157510445,0.033811536,0.018189195543527603,0.090303533,-0.995173991,0,0,0,0,0,0
12892,1722911428674341953,0.7443134188652039,-0.301935822,0.15754294395446777,0.034292247,0.019399811,0.090594374,-0.995108306,0,0,0,0,0,0
12894,1722911428687375359,0.7443118691444397,-0.30072996,0.15790264308452606,0.035519123,0.014632024802267551,0.092951506,-0.994929373,0,0,0,0,0,0
12896,1722911428693896670,0.744280994,-0.299899638,0.1580735594034195,0.037135161,0.014471107,0.093670033,-0.994805276,0,0,0,0,0,0
12898,1722911428704071632,0.7443380951881409,-0.299173266,0.15806418657302856,0.036259707,0.012958181090652943,0.093582846,-0.994866669,0,0,0,0,0,0
12900,1722911428713798001,0.7442828416824341,-0.298264176,0.15822461247444153,0.036576666,0.011981179006397724,0.093866751,-0.994840562,0,0,0,0,0,0
12902,1722911428723891475,0.7443308234214783,-0.297549337,0.15816251933574677,0.036232691,0.011464962735772133,0.093574777,-0.994886696,0,0,0,0,0,0
12904,1722911428734350047,0.7445414662361145,-0.296792209,0.15821035206317902,0.035561994,0.011252724565565586,0.093346715,-0.994934738,0,0,0,0,0,0
12906,1722911428743647671,0.744653583,-0.295715511,0.15842995047569275,0.035026662051677704,0.006405508,0.094380036,-0.994899273,0,0,0,0,0,0
