stamp,px,py,pz,ox,oy,oz,ow,timestamp,lyap_z,wx,wy,wz,aa_x,aa_y,aa_z,roll,pitch,yaw,vx,vy,vz,ax,ay,az,jx,jy,jz,forward_velocity,forward_velocity_1
1713498707.7475965,-1.201012362631475,-0.351303055180439,0.1449139388140403,-0.0038019532978117,-0.6980331066769019,-0.0033451717787417,0.7160475800949858,4.1657383918762205e-08,0.1449139388140403,46930744.64214289,6625180.388478956,104242632.8714294,-8.506787316278422e+16,1.1768439624004808e+16,-2040297106761664.0,-0.030405142846190017,-1.5453111358665532,0.02029671793750393,44274352.68715477,3568857.250617504,-19836946.85490465,2.6478033124619776e+16,-2.742508778553657e+16,2.3890927247887104e+16,-2.753206345651444e+25,-3.627145191957988e+26,5.567326922576659e+26,0.09632807887671153,0.09632807887671153
1713498707.8499413,-1.1964658615179606,-0.3510776189183214,0.1428871636167364,-0.0057649356477943,-0.6978020342675002,0.001713215395297,0.7162654196470221,4.175972867012024e-08,0.1428871636167364,41533897.20709378,5700727.980978764,97589367.97891511,-8.503404938328883e+16,2.1463647641896344e+16,-3.311506179589879e+17,-0.38769689579308664,-1.5426238015357516,0.38196632169176864,46683693.074020386,-2006608.6794261932,-13326342.994611979,2.519899411118784e+16,-5.898878926675643e+16,7.943183613283986e+16,-6.582985457727435e+25,-4.312546285934788e+25,1.537291032576882e+26,0.09965803847933492,0.09965803847933492
1713498707.950416,-1.191552371262449,-0.3516944363633726,0.1421870935765871,-0.0060278096994305,-0.6973953089867442,0.0041245677018652,0.7166494515833971,4.186020350456238e-08,0.1421870935765871,29803874.525897913,10865419.03471467,38065036.80310513,-4.218721252680944e+16,1117095497994432.0,-4.3327106231279405e+17,-0.48658079596109877,-1.5400122337589233,0.48388888563218446,49379059.80022812,-8378506.4768054485,-3785228.7925777435,1.3324081865652672e+16,-3.715481694026822e+16,5.651154021123698e+16,-1.082399784894076e+26,1.9183302321227305e+26,-3.1388613144048026e+26,0.10002589327297697,0.10002589327297697
1713498708.0500903,-1.1865834488744051,-0.3527509974927652,0.1421244782375652,-0.0052204390592181,-0.6971698162516439,0.0056478968161368,0.7168647679899135,4.1959877729415895e-08,0.1421244782375652,32971257.186287574,6004511.2838635435,10616739.045694135,3.550903712209056e+16,-2.816729404820603e+16,-1.1670499220639354e+17,-0.5039475691554677,-1.538982665292434,0.5045521622095016,49372029.37805843,-9484995.663515091,-1954291.8717105389,3518998857439456.0,-2.0552961830628056e+16,1.6744605801464216e+16,-1.1702280942924355e+26,6.049276037084423e+25,-3.0182237882188434e+26,0.10160793630268666,0.10160793630268666
1713498708.1503346,-1.181682537148696,-0.3535893875139101,0.1417948782360708,-0.0044170005334041,-0.6969651366049778,0.0074720835555574,0.7170524781568164,4.206012201309204e-08,0.1417948782360708,36907054.99618281,5257809.956356363,14914974.437784648,-7.21314580879328e+16,2210202570695768.0,-1.2580818106788618e+17,-0.5322591499802475,-1.5377841746233913,0.5365802818197712,50086676.99600315,-12498231.052042007,-439529.7131835222,-1.0092269384536992e+16,-2.5182470784881736e+16,-3717264201804460.0,-2.4937088765263702e+26,1.1655104588503682e+26,-3.122425497980548e+26,0.09966036269597467,0.09966036269597467
1713498708.2527597,-1.1764271353832234,-0.3553022367228468,0.1420479579950634,-0.0032058890699523,-0.6967227714402605,0.0075343741068116,0.7172937579811304,4.216254711151123e-08,0.1420479579950634,17861276.9477089,6495038.996848646,-15624475.264780493,-1.3542317804264558e+17,-5.034686862873539e+17,-3.3581459155924755e+17,-0.47811554750373986,-1.5379766046433698,0.48423778359765657,47250705.27288437,-14567210.814638853,-2790681.419290781,-4.752167101280499e+16,3785869726701088.0,-4.7014118757859864e+16,-1.9392411607512545e+26,2.0221635616906272e+26,-2.001036025339346e+26,0.11066553120732768,0.11066553120732768
1713498708.352708,-1.172100383615586,-0.3565479540936327,0.141255865672732,-0.0009981820086479,-0.7000909609910342,0.0059766829848683,0.714027961099442,4.226249551773071e-08,0.141255865672732,9253747.08456873,-94108079.93248892,-52860757.01326604,-5.725286487777126e+16,-6.936825773286655e+17,-2.5424209238180768e+17,-0.46049234431218977,-1.5487555215997875,0.4675334500213352,40566604.667378426,-11849445.756317139,-9836207.690764189,-5.017664531994227e+16,1.6135218227248888e+16,-4.530229061918212e+16,2.845315087107131e+26,-1.7067210466567003e+25,2.830798200582682e+26,0.09143304189126976,0.09143304189126976
1713498708.456365,-1.168188128689074,-0.3577102081749402,0.1400308141410993,0.0016933007070417,-0.7049706806561372,0.0037555816895747,0.709224483329581,4.236615252494812e-08,0.1400308141410993,6422367.419067142,-132378831.1275462,-66495709.788051344,-2.4154532914459092e+16,-2.1259109790656634e+17,-6.327876653735264e+16,-0.4475679893215105,-1.564110831559138,0.45527393482568995,37160625.40838909,-11365522.505316734,-11824172.336987019,1.27607478094848e+16,-751497696267448.0,1.2631687229412536e+16,9.148003611811374e+25,5.400131113174542e+24,4.710989343311493e+26,0.085222824207343,0.085222824207343
1713498708.561479,-1.1643440299601449,-0.3589211945202784,0.1387873043260922,0.0043184034049158,-0.7100862707194001,0.0014442110521768,0.7040999600783144,4.247126650810242e-08,0.1387873043260922,4220255.172671223,-138031359.47266212,-65871222.45688365,6.946842180765498e+16,4.0695338975199706e+17,1.9056054731147626e+17,2.698043900010001,-1.5614051372147326,-2.6898942200926097,43364544.17193031,-12022241.297043562,-7105733.64832747,-3.259152316284307e+16,1.7756502037945664e+16,5.279185215126321e+16,-5.184321902144254e+26,1.76470332384274e+26,1.0053909599075418e+26,0.08435614886034014,0.08435614886034014
1713498708.6573625,-1.1595918846619688,-0.3601177942700378,0.1385191922586196,0.006027413585105,-0.7120564986292949,0.0010099976905125,0.7020955725183918,4.256714987754822e-08,0.1385191922586196,18789397.72999607,-58714431.42483556,-31452196.29262635,-1.2962196813129976e+16,6.252084998325188e+17,3.077620960691592e+17,2.6799580036891673,-1.5550231159403722,-2.670005250619878,32226832.774381638,-8220201.787869692,-1352644.0477324724,-8.990760027633926e+16,3.47116033172166e+16,3.780885621348917e+16,4.6316960355440475e+26,-5.810743389649082e+25,-2.4972435459877795e+26,0.09815624274965964,0.09815624274965964
