seq,timestamp,px,py,pz,ox,oy,oz,ow,linear_x,linear_y,linear_z,angular_x,angular_y,angular_z,vx,vy,vz,ax,ay,az,jx,jy,jz
6658.0,1.7216892039862346e+18,-1.628303528,1.1613141298294067,0.1536245942115783,-0.037610687,0.0175390746444463,0.1673722565174102,-0.985020041,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6659.0,1.7216892039862346e+18,-1.628303528,1.1613141298294067,0.1536245942115783,-0.037610687,0.0175390746444463,0.1673722565174102,-0.985020041,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6660.0,1.721689203996039e+18,-1.628406405,1.1617257595062256,0.153836652636528,-0.03786343,0.0173121523112058,0.166981816291809,-0.985080659,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6661.0,1.721689203996039e+18,-1.628406405,1.1617257595062256,0.153836652636528,-0.03786343,0.0173121523112058,0.166981816291809,-0.985080659,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6662.0,1.721689204005447e+18,-1.628556132,1.1620745658874512,0.1538810431957245,-0.038417231,0.017566476,0.1665477007627487,-0.985128105,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6663.0,1.721689204005447e+18,-1.628556132,1.1620745658874512,0.1538810431957245,-0.038417231,0.017566476,0.1665477007627487,-0.985128105,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6664.0,1.721689204014945e+18,-1.628653646,1.1623367071151731,0.1539921462535858,-0.038641144,0.0171785224229097,0.1657887250185012,-0.985254228,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6665.0,1.721689204014945e+18,-1.628653646,1.1623367071151731,0.1539921462535858,-0.038641144,0.0171785224229097,0.1657887250185012,-0.985254228,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6666.0,1.7216892040249226e+18,-1.628786206,1.1626731157302856,0.1540677547454834,-0.039504986,0.016787892,0.1654394268989563,-0.985285461,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6667.0,1.7216892040249226e+18,-1.628786206,1.1626731157302856,0.1540677547454834,-0.039504986,0.016787892,0.1654394268989563,-0.985285461,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6668.0,1.7216892040351173e+18,-1.629012823,1.1630572080612185,0.1541169583797454,-0.039364386,0.0166909955441951,0.1651646643877029,-0.985338807,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6669.0,1.7216892040351173e+18,-1.629012823,1.1630572080612185,0.1541169583797454,-0.039364386,0.0166909955441951,0.1651646643877029,-0.985338807,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6670.0,1.7216892040453097e+18,-1.629250884,1.1634860038757324,0.1541578769683838,-0.039468884,0.0172291733324527,0.1651588976383209,-0.98532629,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6671.0,1.7216892040453097e+18,-1.629250884,1.1634860038757324,0.1541578769683838,-0.039468884,0.0172291733324527,0.1651588976383209,-0.98532629,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6672.0,1.7216892040565425e+18,-1.629473686,1.163869857788086,0.1542920172214508,-0.038986269,0.0177023652940988,0.1650040000677108,-0.985363126,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6673.0,1.7216892040565425e+18,-1.629473686,1.163869857788086,0.1542920172214508,-0.038986269,0.0177023652940988,0.1650040000677108,-0.985363126,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6674.0,1.7216892040649216e+18,-1.629987359,1.1643580198287964,0.1546302288770675,-0.037673436,0.0165066961199045,0.1655333042144775,-0.985346138,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6675.0,1.7216892040649216e+18,-1.629987359,1.1643580198287964,0.1546302288770675,-0.037673436,0.0165066961199045,0.1655333042144775,-0.985346138,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6676.0,1.7216892040747768e+18,-1.630099893,1.164704442024231,0.154743031,-0.038430758,0.017356003,0.1648450344800949,-0.985417724,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6677.0,1.7216892040747768e+18,-1.630099893,1.164704442024231,0.154743031,-0.038430758,0.017356003,0.1648450344800949,-0.985417724,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6678.0,1.721689204112866e+18,-1.630181551,1.165137529373169,0.1549616605043411,-0.03810259,0.0171931106597185,0.1644792109727859,-0.985494375,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6679.0,1.721689204112866e+18,-1.630181551,1.165137529373169,0.1549616605043411,-0.03810259,0.0171931106597185,0.1644792109727859,-0.985494375,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6680.0,1.7216892041135283e+18,-1.630424857,1.1655709743499756,0.155170277,-0.037570596,0.016806463,0.1643524020910263,-0.985542655,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6681.0,1.7216892041135283e+18,-1.630424857,1.1655709743499756,0.155170277,-0.037570596,0.016806463,0.1643524020910263,-0.985542655,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6682.0,1.721689204113926e+18,-1.630657554,1.1659603118896484,0.1554292142391204,-0.037041545,0.0163284428417682,0.1638602018356323,-0.985652685,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6683.0,1.721689204113926e+18,-1.630657554,1.1659603118896484,0.1554292142391204,-0.037041545,0.0163284428417682,0.1638602018356323,-0.985652685,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6684.0,1.7216892041154007e+18,-1.630900621,1.166339874267578,0.1557222008705139,-0.036727436,0.0159756317734718,0.1636447459459304,-0.985705972,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6685.0,1.7216892041154007e+18,-1.630900621,1.166339874267578,0.1557222008705139,-0.036727436,0.0159756317734718,0.1636447459459304,-0.985705972,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6686.0,1.721689204124741e+18,-1.631119847,1.1666597127914429,0.1559338718652725,-0.037134368,0.01618669,0.1630299091339111,-0.985789239,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6687.0,1.721689204124741e+18,-1.631119847,1.1666597127914429,0.1559338718652725,-0.037134368,0.01618669,0.1630299091339111,-0.985789239,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6688.0,1.7216892041365166e+18,-1.631381273,1.1670132875442505,0.156245619,-0.036704667,0.0158461425453424,0.1625528782606125,-0.985889554,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6689.0,1.7216892041365166e+18,-1.631381273,1.1670132875442505,0.156245619,-0.036704667,0.0158461425453424,0.1625528782606125,-0.985889554,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6690.0,1.7216892041457792e+18,-1.631708026,1.167363524436951,0.1566368788480758,-0.036477137,0.0156091954559087,0.1621287018060684,-0.98597163,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6691.0,1.7216892041457792e+18,-1.631708026,1.167363524436951,0.1566368788480758,-0.036477137,0.0156091954559087,0.1621287018060684,-0.98597163,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6692.0,1.7216892041550758e+18,-1.632114768,1.1677885055541992,0.1571144461631775,-0.035363872,0.0145898824557662,0.1619910895824432,-0.986050487,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6693.0,1.7216892041550758e+18,-1.632114768,1.1677885055541992,0.1571144461631775,-0.035363872,0.0145898824557662,0.1619910895824432,-0.986050487,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
