seq,timestamp,px,py,pz,ox,oy,oz,ow,linear_x,linear_y,linear_z,angular_x,angular_y,angular_z,time interval
2801,1721689184698711721,-1.141689658,0.6248602271080017,0.17421221733093262,0.074506357,0.005034462,0.3108958601951599,-0.947505772,0,0,0,0,0,0,0
2801,1721689184698711721,-1.141689658,0.6248602271080017,0.17421221733093262,0.074506357,0.005034462,0.3108958601951599,-0.947505772,0,0,0,0,0,0,0
2801,1721689184698711721,-1.141689658,0.6248602271080017,0.17421221733093262,0.074506357,0.005034462,0.3108958601951599,-0.947505772,0,0,0,0,0,0,0
2802,1721689184707788013,-1.141704559,0.6251202821731567,0.17419305443763733,0.074559905,0.005085153,0.31141218543052673,-0.947331727,0,0,0,0,0,0,9070080
2802,1721689184707788013,-1.141704559,0.6251202821731567,0.17419305443763733,0.074559905,0.005085153,0.31141218543052673,-0.947331727,0,0,0,0,0,0,0
2802,1721689184707788013,-1.141704559,0.6251202821731567,0.17419305443763733,0.074559905,0.005085153,0.31141218543052673,-0.947331727,0,0,0,0,0,0,0
2803,1721689184707788013,-1.141704559,0.6251202821731567,0.17419305443763733,0.074559905,0.005085153,0.31141218543052673,-0.947331727,0,0,0,0,0,0,0
2803,1721689184707788013,-1.141704559,0.6251202821731567,0.17419305443763733,0.074559905,0.005085153,0.31141218543052673,-0.947331727,0,0,0,0,0,0,0
2803,1721689184707788013,-1.141704559,0.6251202821731567,0.17419305443763733,0.074559905,0.005085153,0.31141218543052673,-0.947331727,0,0,0,0,0,0,0
2804,1721689184717771035,-1.141684175,0.6254222393035889,0.17419295012950897,0.07468944,0.005323649,0.3118113875389099,-0.947188914,0,0,0,0,0,0,9989888
2804,1721689184717771035,-1.141684175,0.6254222393035889,0.17419295012950897,0.07468944,0.005323649,0.3118113875389099,-0.947188914,0,0,0,0,0,0,0
2804,1721689184717771035,-1.141684175,0.6254222393035889,0.17419295012950897,0.07468944,0.005323649,0.3118113875389099,-0.947188914,0,0,0,0,0,0,0
2805,1721689184717771035,-1.141684175,0.6254222393035889,0.17419295012950897,0.07468944,0.005323649,0.3118113875389099,-0.947188914,0,0,0,0,0,0,0
2805,1721689184717771035,-1.141684175,0.6254222393035889,0.17419295012950897,0.07468944,0.005323649,0.3118113875389099,-0.947188914,0,0,0,0,0,0,0
2805,1721689184717771035,-1.141684175,0.6254222393035889,0.17419295012950897,0.07468944,0.005323649,0.3118113875389099,-0.947188914,0,0,0,0,0,0,0
2806,1721689184730617455,-1.141667247,0.6257790923118591,0.17417211830615997,0.0747623,0.005431755,0.31229445338249207,-0.947023392,0,0,0,0,0,0,12839936
2806,1721689184730617455,-1.141667247,0.6257790923118591,0.17417211830615997,0.0747623,0.005431755,0.31229445338249207,-0.947023392,0,0,0,0,0,0,0
2806,1721689184730617455,-1.141667247,0.6257790923118591,0.17417211830615997,0.0747623,0.005431755,0.31229445338249207,-0.947023392,0,0,0,0,0,0,0
2807,1721689184730617455,-1.141667247,0.6257790923118591,0.17417211830615997,0.0747623,0.005431755,0.31229445338249207,-0.947023392,0,0,0,0,0,0,0
2807,1721689184730617455,-1.141667247,0.6257790923118591,0.17417211830615997,0.0747623,0.005431755,0.31229445338249207,-0.947023392,0,0,0,0,0,0,0
2807,1721689184730617455,-1.141667247,0.6257790923118591,0.17417211830615997,0.0747623,0.005431755,0.31229445338249207,-0.947023392,0,0,0,0,0,0,0
2808,1721689184738396488,-1.141687989,0.6262345910072327,0.1741546392440796,0.075538069,0.005277567,0.3128969669342041,-0.946763754,0,0,0,0,0,0,7780096
2808,1721689184738396488,-1.141687989,0.6262345910072327,0.1741546392440796,0.075538069,0.005277567,0.3128969669342041,-0.946763754,0,0,0,0,0,0,0
2808,1721689184738396488,-1.141687989,0.6262345910072327,0.1741546392440796,0.075538069,0.005277567,0.3128969669342041,-0.946763754,0,0,0,0,0,0,0
2809,1721689184738396488,-1.141687989,0.6262345910072327,0.1741546392440796,0.075538069,0.005277567,0.3128969669342041,-0.946763754,0,0,0,0,0,0,0
2809,1721689184738396488,-1.141687989,0.6262345910072327,0.1741546392440796,0.075538069,0.005277567,0.3128969669342041,-0.946763754,0,0,0,0,0,0,0
2809,1721689184738396488,-1.141687989,0.6262345910072327,0.1741546392440796,0.075538069,0.005277567,0.3128969669342041,-0.946763754,0,0,0,0,0,0,0
2810,1721689184748445926,-1.141706824,0.6267426013946533,0.1741010993719101,0.075753346,0.005494482,0.31344515085220337,-0.946563959,0,0,0,0,0,0,10050048
2810,1721689184748445926,-1.141706824,0.6267426013946533,0.1741010993719101,0.075753346,0.005494482,0.31344515085220337,-0.946563959,0,0,0,0,0,0,0
2810,1721689184748445926,-1.141706824,0.6267426013946533,0.1741010993719101,0.075753346,0.005494482,0.31344515085220337,-0.946563959,0,0,0,0,0,0,0
2811,1721689184748445926,-1.141706824,0.6267426013946533,0.1741010993719101,0.075753346,0.005494482,0.31344515085220337,-0.946563959,0,0,0,0,0,0,0
2811,1721689184748445926,-1.141706824,0.6267426013946533,0.1741010993719101,0.075753346,0.005494482,0.31344515085220337,-0.946563959,0,0,0,0,0,0,0
2811,1721689184748445926,-1.141706824,0.6267426013946533,0.1741010993719101,0.075753346,0.005494482,0.31344515085220337,-0.946563959,0,0,0,0,0,0,0
2812,1721689184758081424,-1.141724825,0.6273160576820374,0.17403821647167206,0.076093167,0.005670201,0.3137982487678528,-0.946418762,0,0,0,0,0,0,9639936
